Household_ID,State,Rural_Urban,Household_Size,Monthly_Income,Education_Level,Employment_Status,Food_Expenditure,Housing_Expenditure,Transport_Expenditure,Healthcare_Expenditure,Other_Expenditures,Total_Expenditure,MPCE,Age_Household_Head,Gender_Household_Head,Electricity_Access,Internet_Access,Cooking_Fuel_Type,Water_Source,Sanitation_Facility,Vehicle_Ownership,Loan_Repayment,Savings,Mobile_Phones_Owned,TV_Ownership,Computer_Ownership,Internet_Data_Usage_GB,Type_of_Employment,Agricultural_Land_Owned,Financial_Aid_Received,Type_of_House,Debt_Amount,Insurance_Coverage
H00249,Delhi,Urban,2,62326,No Schooling,Unemployed,20293,5938,9184,1459,14774,51648,25824.0,77,Female,Yes,Yes,Wood,Well,Yes,2,16289,3460,2,Yes,Yes,69,Self-Employed,9,No,Rented House,315795,Yes
H00250,Uttar Pradesh,Urban,8,95023,No Schooling,Unemployed,8364,39185,7935,5446,18177,79107,9888.375,37,Male,No,No,LPG,Piped Water,No,2,18946,42653,2,Yes,No,168,Government,2,No,Temporary Shelter,313476,No
H00251,Karnataka,Rural,9,35651,Primary,Employed,4581,23388,2048,7471,2965,40453,4494.777777777777,55,Female,Yes,Yes,Wood,Well,No,1,19701,40980,4,Yes,Yes,334,Government,9,Yes,Temporary Shelter,199953,Yes
H00252,Delhi,Urban,1,75202,Higher Secondary,Unemployed,2691,9881,9835,948,16804,40159,40159.0,65,Female,No,No,LPG,River,No,0,18820,48884,1,No,No,169,Self-Employed,2,Yes,Rented House,330345,No
H00253,Tamil Nadu,Urban,5,53777,No Schooling,Unemployed,2931,6603,5565,12378,16169,43646,8729.2,31,Female,Yes,No,Wood,Piped Water,No,0,5769,3725,0,No,No,496,Unemployed,1,Yes,Temporary Shelter,418023,Yes
H00254,West Bengal,Urban,8,21994,Postgraduate,Employed,15128,35980,6996,3751,11794,73649,9206.125,47,Female,Yes,No,LPG,Well,No,0,13663,38337,2,Yes,Yes,252,Unemployed,1,Yes,Temporary Shelter,305696,Yes
H00255,Delhi,Rural,2,72263,Higher Secondary,Self-Employed,26294,23504,6683,14690,3675,74846,37423.0,48,Male,No,Yes,Electricity,Piped Water,Yes,2,5918,1323,4,No,Yes,345,Government,5,No,Own House,208974,Yes
H00256,Uttar Pradesh,Urban,4,64634,Secondary,Self-Employed,16226,17766,4457,6600,8349,53398,13349.5,29,Female,Yes,Yes,Other,Piped Water,No,0,17473,39978,4,Yes,No,498,Government,6,Yes,Rented House,123938,Yes
H00257,Gujarat,Urban,7,15800,Graduate,Unemployed,15861,29386,3907,14770,12973,76897,10985.285714285714,29,Male,No,No,Electricity,Other,No,0,4555,9257,3,Yes,No,459,Private,3,No,Temporary Shelter,117230,No
H00258,Karnataka,Rural,3,42823,Higher Secondary,Self-Employed,17475,12695,1139,6843,9925,48077,16025.666666666666,41,Female,Yes,No,Other,Piped Water,Yes,1,2394,46119,4,Yes,Yes,296,Unemployed,0,No,Temporary Shelter,468077,No
H00259,Rajasthan,Urban,5,68878,Graduate,Unemployed,24766,18796,672,14824,12722,71780,14356.0,54,Male,No,No,LPG,Piped Water,Yes,2,666,37860,1,Yes,Yes,430,Government,5,Yes,Temporary Shelter,464192,No
H00260,Uttar Pradesh,Rural,8,23708,Higher Secondary,Employed,5406,15559,6166,8901,8944,44976,5622.0,33,Female,Yes,Yes,Electricity,Well,No,0,12355,13746,2,No,No,141,Government,6,Yes,Rented House,93758,Yes
H00261,Delhi,Rural,3,17819,Secondary,Employed,10339,39914,4854,14063,8710,77880,25960.0,30,Male,No,No,Other,River,No,2,2234,44738,3,No,No,384,Self-Employed,3,Yes,Own House,319444,Yes
H00262,Karnataka,Rural,4,79905,No Schooling,Unemployed,19416,34139,4459,2023,3259,63296,15824.0,49,Female,Yes,No,Wood,River,No,2,6335,29124,2,Yes,Yes,272,Private,5,Yes,Own House,289095,Yes
H00263,West Bengal,Rural,9,68870,Secondary,Employed,19695,39333,9208,7052,16591,91879,10208.777777777777,43,Male,No,No,LPG,Well,No,2,17620,4887,2,Yes,No,224,Unemployed,8,Yes,Rented House,498630,Yes
H00264,Delhi,Rural,7,14283,No Schooling,Employed,10579,9802,9214,13272,502,43369,6195.571428571428,40,Female,Yes,Yes,LPG,River,Yes,1,18007,23302,1,No,No,182,Unemployed,3,No,Rented House,282408,Yes
H00265,Uttar Pradesh,Urban,1,35573,No Schooling,Unemployed,5121,9307,3386,11333,18143,47290,47290.0,45,Female,No,No,Wood,Piped Water,No,2,17758,44008,4,No,Yes,220,Private,9,Yes,Rented House,19121,Yes
H00266,Maharashtra,Rural,4,83707,Graduate,Unemployed,20257,34214,2664,14833,8690,80658,20164.5,26,Male,Yes,Yes,Wood,Other,Yes,2,11503,36167,1,Yes,Yes,52,Government,3,No,Rented House,346495,Yes
H00267,Tamil Nadu,Rural,4,35933,Postgraduate,Employed,27491,35159,4445,7977,15748,90820,22705.0,34,Male,No,Yes,Other,Piped Water,No,2,6359,9460,4,Yes,No,117,Unemployed,9,Yes,Own House,312683,No
H00268,Rajasthan,Urban,9,10774,Secondary,Self-Employed,28454,12516,5735,4432,6273,57410,6378.888888888889,40,Male,Yes,No,LPG,Piped Water,No,0,16560,32792,3,Yes,No,364,Unemployed,4,No,Temporary Shelter,161383,Yes
H00269,Gujarat,Rural,6,77055,Higher Secondary,Self-Employed,25165,30086,8246,6719,13286,83502,13917.0,61,Male,No,No,Other,Other,No,1,13876,39319,1,Yes,Yes,158,Unemployed,2,No,Temporary Shelter,173469,No
H00270,Uttar Pradesh,Urban,9,15983,Secondary,Unemployed,17946,31480,3090,10526,19452,82494,9166.0,39,Male,No,No,Wood,Well,Yes,0,2928,13041,1,Yes,No,445,Self-Employed,9,No,Rented House,150821,No
H00271,Karnataka,Urban,6,23133,Graduate,Unemployed,5748,39737,8254,1977,15537,71253,11875.5,37,Female,No,Yes,LPG,Piped Water,No,1,7617,16093,0,No,Yes,135,Private,1,Yes,Rented House,29218,Yes
H00272,Rajasthan,Urban,6,19939,No Schooling,Self-Employed,2277,10265,5434,1422,2385,21783,3630.5,37,Male,No,Yes,Wood,Piped Water,No,1,7614,14720,1,No,No,413,Unemployed,8,Yes,Temporary Shelter,474285,Yes
H00273,Rajasthan,Rural,5,5781,Graduate,Employed,28553,6454,4576,7830,7560,54973,10994.6,56,Male,Yes,Yes,Other,Well,Yes,2,4274,20293,0,Yes,Yes,76,Private,0,Yes,Own House,444807,Yes
H00274,Rajasthan,Rural,5,61700,Primary,Self-Employed,20243,36918,5685,14972,16831,94649,18929.8,69,Female,Yes,No,Other,Piped Water,No,2,4971,21348,4,Yes,No,335,Government,4,No,Rented House,175205,Yes
H00275,Delhi,Rural,2,32624,Primary,Self-Employed,29612,27181,1593,13821,8344,80551,40275.5,71,Male,Yes,Yes,Other,Piped Water,Yes,0,8389,45952,4,Yes,No,449,Private,4,No,Rented House,307011,No
H00276,Tamil Nadu,Urban,8,11823,Higher Secondary,Self-Employed,13563,16386,4380,12059,13950,60338,7542.25,70,Male,No,No,LPG,River,No,1,17352,5127,4,Yes,No,44,Self-Employed,7,Yes,Own House,1316,Yes
H00277,Delhi,Rural,8,23489,Graduate,Self-Employed,24313,38425,7059,1977,9991,81765,10220.625,32,Male,No,No,Wood,Well,Yes,2,19539,4360,0,No,Yes,17,Self-Employed,5,Yes,Own House,37972,No
H00278,Karnataka,Rural,1,44961,Higher Secondary,Unemployed,8792,25327,3285,9696,19222,66322,66322.0,67,Female,No,No,Wood,Piped Water,Yes,2,2504,37696,4,No,Yes,354,Private,5,No,Own House,349068,Yes
H00279,Delhi,Rural,8,34118,Higher Secondary,Unemployed,23097,22181,6565,7690,9768,69301,8662.625,42,Male,No,Yes,Other,Piped Water,Yes,2,6006,41640,2,Yes,Yes,428,Self-Employed,5,No,Rented House,472264,No
H00280,Maharashtra,Urban,5,86816,Primary,Employed,15918,22452,7039,5059,9639,60107,12021.4,60,Female,No,Yes,Other,Other,No,2,7943,9112,1,No,No,402,Unemployed,3,Yes,Own House,197292,No
H00281,Tamil Nadu,Urban,2,27263,Higher Secondary,Employed,12374,39248,2074,9093,7291,70080,35040.0,50,Female,Yes,Yes,Other,Other,Yes,0,17653,25923,0,Yes,No,204,Self-Employed,0,Yes,Rented House,354844,No
H00282,Tamil Nadu,Rural,2,18565,Primary,Employed,6675,34751,6176,8318,7671,63591,31795.5,34,Male,Yes,No,Other,Other,Yes,0,17748,8415,4,Yes,Yes,498,Government,2,Yes,Rented House,497960,No
H00283,Karnataka,Rural,6,25354,No Schooling,Employed,3170,22991,8560,3189,19615,57525,9587.5,55,Female,Yes,Yes,Electricity,Piped Water,No,2,923,47127,2,No,Yes,323,Private,9,No,Own House,129079,No
H00284,Gujarat,Rural,9,47951,Graduate,Self-Employed,10681,10916,4490,8543,17753,52383,5820.333333333333,57,Male,No,Yes,Electricity,Piped Water,Yes,2,16854,12731,1,Yes,No,82,Private,5,No,Temporary Shelter,208343,Yes
H00285,Maharashtra,Rural,1,96179,Higher Secondary,Unemployed,12717,11143,5710,1525,593,31688,31688.0,53,Male,No,No,Electricity,Other,No,2,10246,18358,1,No,No,49,Government,4,Yes,Own House,232463,Yes
H00286,Uttar Pradesh,Urban,6,28648,Primary,Unemployed,27758,26855,5345,9693,3487,73138,12189.666666666666,29,Male,No,No,Other,River,No,2,12475,25199,4,Yes,No,280,Government,9,Yes,Temporary Shelter,173707,Yes
H00287,Delhi,Urban,9,55729,Secondary,Employed,14450,16581,9785,12114,13347,66277,7364.111111111111,37,Male,No,Yes,Other,River,Yes,2,19338,35991,2,Yes,No,165,Government,0,Yes,Own House,182337,No
H00288,West Bengal,Urban,8,46971,Higher Secondary,Employed,12680,2907,1689,10103,10467,37846,4730.75,25,Male,No,No,Wood,River,Yes,1,17532,37092,0,Yes,Yes,242,Government,4,Yes,Own House,181181,Yes
H00289,Delhi,Urban,6,23658,Postgraduate,Self-Employed,12068,30424,3189,5327,16718,67726,11287.666666666666,47,Female,No,Yes,LPG,River,No,1,3086,31476,4,Yes,Yes,376,Unemployed,1,Yes,Rented House,366226,No
H00290,Rajasthan,Rural,3,26253,No Schooling,Self-Employed,23692,24308,4595,9198,10952,72745,24248.333333333332,64,Female,No,No,Wood,Well,Yes,1,14860,11077,1,No,No,478,Self-Employed,0,No,Rented House,179869,No
H00291,Delhi,Rural,8,69166,No Schooling,Employed,4462,37942,2375,12722,9127,66628,8328.5,27,Female,Yes,No,Electricity,Other,Yes,1,17013,26794,1,Yes,No,163,Self-Employed,3,Yes,Rented House,401295,Yes
H00292,Uttar Pradesh,Rural,9,53563,Secondary,Unemployed,15650,27957,8268,2922,5447,60244,6693.777777777777,27,Female,Yes,Yes,Wood,Piped Water,Yes,2,7407,47476,1,No,No,323,Unemployed,5,No,Rented House,60887,No
H00293,Delhi,Urban,1,31390,Primary,Unemployed,28206,26464,3906,4856,7151,70583,70583.0,31,Male,No,No,Other,Other,Yes,1,774,34078,4,No,Yes,55,Government,6,No,Rented House,153484,Yes
H00294,Maharashtra,Rural,9,93664,Higher Secondary,Unemployed,2287,24649,4432,1525,3644,36537,4059.6666666666665,60,Male,No,No,Electricity,River,No,1,8709,9318,3,Yes,Yes,38,Private,8,No,Rented House,298006,No
H00295,Maharashtra,Urban,6,56578,Primary,Employed,24337,28125,8740,4333,16960,82495,13749.166666666666,59,Female,No,No,Electricity,Piped Water,No,0,16311,21888,3,No,No,318,Private,4,No,Rented House,389821,Yes
H00296,Tamil Nadu,Urban,6,84025,No Schooling,Unemployed,22666,35758,5908,9551,9459,83342,13890.333333333334,39,Male,Yes,Yes,LPG,Well,Yes,1,1343,20601,3,Yes,No,127,Private,7,No,Temporary Shelter,215799,No
H00297,Karnataka,Rural,4,37658,Primary,Self-Employed,20291,6596,4361,3069,8797,43114,10778.5,64,Female,Yes,No,LPG,Other,No,1,10161,12553,2,No,No,390,Government,7,No,Temporary Shelter,145893,Yes
H00298,Gujarat,Rural,1,11852,No Schooling,Self-Employed,3161,17374,7906,12908,7194,48543,48543.0,27,Female,No,No,Electricity,Piped Water,Yes,2,11419,38297,4,No,No,121,Unemployed,8,No,Rented House,335262,Yes
H00299,West Bengal,Rural,8,99986,Primary,Employed,18513,4775,3333,1442,16335,44398,5549.75,53,Female,Yes,Yes,Electricity,Piped Water,Yes,1,7797,15310,1,Yes,No,246,Unemployed,2,No,Temporary Shelter,74548,No
H00300,Rajasthan,Urban,2,7551,Secondary,Self-Employed,24721,28388,5785,8739,19757,87390,43695.0,54,Female,Yes,Yes,Wood,River,Yes,1,19283,8789,2,Yes,No,185,Unemployed,2,Yes,Own House,164727,No
H00301,Delhi,Rural,1,76947,Graduate,Employed,4363,22029,8145,2031,3846,40414,40414.0,63,Male,Yes,No,Electricity,River,Yes,2,934,45589,3,No,Yes,207,Self-Employed,8,Yes,Temporary Shelter,437904,No
H00302,Delhi,Urban,2,66001,Secondary,Unemployed,26535,19445,9523,1769,11840,69112,34556.0,42,Male,No,No,Other,Other,No,1,1986,27481,0,Yes,Yes,314,Self-Employed,6,Yes,Rented House,104319,Yes
H00303,Uttar Pradesh,Rural,1,54159,Secondary,Unemployed,7983,15645,5277,12327,744,41976,41976.0,35,Female,Yes,No,Wood,Well,Yes,2,14016,29608,2,Yes,Yes,303,Self-Employed,3,Yes,Temporary Shelter,185648,Yes
H00304,Karnataka,Urban,1,56707,Graduate,Unemployed,18527,32105,3235,7446,3125,64438,64438.0,67,Female,Yes,Yes,Other,Piped Water,No,1,5465,42753,2,No,No,388,Self-Employed,0,Yes,Own House,260272,No
H00305,Maharashtra,Urban,9,38243,Graduate,Self-Employed,10207,14668,8773,2118,4349,40115,4457.222222222223,73,Female,No,No,Other,River,Yes,0,9966,21242,4,No,No,238,Private,6,No,Temporary Shelter,80066,Yes
H00306,West Bengal,Rural,1,26800,Higher Secondary,Employed,25853,16960,8778,6616,10097,68304,68304.0,62,Female,No,Yes,Other,Other,No,0,15721,41050,2,Yes,No,214,Private,9,No,Rented House,479129,Yes
H00307,Tamil Nadu,Urban,4,80939,Higher Secondary,Unemployed,16758,12357,6868,3432,8237,47652,11913.0,64,Female,Yes,Yes,Electricity,River,No,1,1505,9016,4,No,Yes,291,Unemployed,5,No,Own House,445452,No
H00308,Maharashtra,Urban,6,62828,Secondary,Employed,2244,38203,1321,3958,14524,60250,10041.666666666666,25,Male,No,No,LPG,Other,No,0,5363,475,0,Yes,No,223,Self-Employed,2,No,Own House,246635,Yes
H00309,Rajasthan,Rural,7,12239,Secondary,Unemployed,19310,16804,8025,6197,12500,62836,8976.57142857143,53,Female,Yes,No,LPG,River,No,2,15940,31549,1,Yes,Yes,87,Unemployed,4,No,Temporary Shelter,307365,Yes
H00310,Karnataka,Urban,2,11710,No Schooling,Self-Employed,5178,15626,662,2555,8833,32854,16427.0,34,Female,Yes,Yes,Other,Well,Yes,1,10846,23897,1,No,No,24,Government,2,Yes,Own House,349333,Yes
H00311,Rajasthan,Rural,6,26384,No Schooling,Self-Employed,4176,29132,8277,9789,17776,69150,11525.0,52,Male,No,No,Electricity,Piped Water,No,2,1010,20882,3,Yes,No,428,Self-Employed,7,Yes,Own House,105812,No
H00312,Gujarat,Urban,7,26038,Higher Secondary,Employed,7002,8951,2432,11172,7810,37367,5338.142857142857,55,Male,No,No,Wood,River,Yes,0,14924,27128,3,No,No,219,Self-Employed,4,No,Own House,216988,Yes
H00313,Tamil Nadu,Rural,2,45846,Postgraduate,Self-Employed,2886,7449,4035,2024,2899,19293,9646.5,43,Male,Yes,Yes,Other,Piped Water,No,2,13482,20343,0,Yes,Yes,274,Unemployed,9,Yes,Rented House,459308,No
H00314,Gujarat,Rural,2,92983,Postgraduate,Self-Employed,26916,20065,6456,10883,5140,69460,34730.0,27,Male,No,No,Wood,Other,No,0,19861,29479,1,Yes,Yes,134,Unemployed,9,Yes,Own House,185517,Yes
H00315,Uttar Pradesh,Urban,7,72821,Higher Secondary,Employed,28627,36967,3946,7480,19844,96864,13837.714285714286,60,Male,No,Yes,Wood,Well,No,0,9369,37880,3,Yes,Yes,491,Government,5,Yes,Temporary Shelter,92326,Yes
H00316,Rajasthan,Urban,1,42991,No Schooling,Unemployed,21782,10130,3290,4260,10891,50353,50353.0,67,Male,Yes,No,Electricity,Piped Water,Yes,0,3857,30840,2,No,No,441,Unemployed,1,Yes,Temporary Shelter,139972,Yes
H00317,Uttar Pradesh,Urban,8,84057,No Schooling,Self-Employed,15721,24824,3207,5524,18353,67629,8453.625,39,Male,Yes,Yes,Electricity,River,No,2,9864,49508,4,No,Yes,232,Self-Employed,7,Yes,Own House,426701,Yes
H00318,Delhi,Urban,3,11971,Postgraduate,Employed,14142,37993,8459,604,11392,72590,24196.666666666668,57,Male,Yes,Yes,LPG,Piped Water,Yes,0,10120,20084,3,Yes,No,464,Private,8,No,Temporary Shelter,233041,Yes
H00319,Gujarat,Urban,6,34139,Primary,Self-Employed,26881,32875,4433,1921,11697,77807,12967.833333333334,65,Male,Yes,No,LPG,Piped Water,Yes,1,11370,150,0,No,No,65,Government,2,Yes,Own House,13891,No
H00320,Karnataka,Rural,9,90445,Primary,Self-Employed,27483,7054,3885,5516,13550,57488,6387.555555555556,67,Female,Yes,Yes,Electricity,Other,Yes,0,2553,6690,1,No,Yes,79,Government,5,Yes,Temporary Shelter,370784,Yes
H00321,Rajasthan,Urban,6,82067,No Schooling,Self-Employed,4654,35273,7136,11217,3874,62154,10359.0,75,Male,Yes,Yes,Other,Well,No,1,15489,40305,0,Yes,Yes,422,Self-Employed,5,No,Own House,146086,Yes
H00322,West Bengal,Rural,9,85257,Primary,Self-Employed,13984,11832,1422,4045,13411,44694,4966.0,69,Female,No,No,LPG,Well,No,1,4389,15262,4,No,No,254,Private,1,No,Own House,334227,Yes
H00323,Tamil Nadu,Rural,7,89742,Graduate,Employed,25776,30670,8589,4410,9347,78792,11256.0,50,Female,No,No,Wood,Piped Water,No,1,16935,49846,4,No,No,124,Unemployed,9,No,Own House,300108,Yes
H00324,Maharashtra,Urban,9,42711,Higher Secondary,Employed,19755,23852,1064,11584,15285,71540,7948.888888888889,40,Female,Yes,No,Other,Piped Water,No,1,11089,13205,0,No,No,145,Unemployed,7,No,Rented House,444387,No
H00325,Karnataka,Rural,2,11530,Higher Secondary,Employed,9135,24620,3758,14164,11460,63137,31568.5,60,Female,No,Yes,Wood,Other,No,2,9231,37599,3,Yes,No,102,Private,4,No,Temporary Shelter,488684,Yes
H00326,Karnataka,Rural,8,16116,No Schooling,Self-Employed,2320,29307,3000,264,14035,48926,6115.75,57,Female,No,Yes,Electricity,Piped Water,No,1,3051,36741,3,Yes,Yes,384,Private,7,No,Own House,44739,Yes
H00327,Uttar Pradesh,Rural,8,70794,Secondary,Self-Employed,6654,2551,5066,9691,8734,32696,4087.0,44,Female,Yes,Yes,Wood,Other,No,0,5322,11728,1,No,Yes,446,Self-Employed,7,No,Rented House,379015,Yes
H00328,Gujarat,Rural,2,5282,Postgraduate,Self-Employed,23684,28812,9679,13312,11003,86490,43245.0,37,Female,No,No,Other,Well,Yes,1,11789,42132,1,Yes,Yes,386,Unemployed,2,No,Rented House,347943,Yes
H00329,Rajasthan,Urban,4,84473,No Schooling,Employed,25145,14799,7381,6582,5622,59529,14882.25,57,Female,No,Yes,Electricity,Well,No,0,2555,38616,2,No,No,382,Self-Employed,4,Yes,Own House,215928,No
H00330,Rajasthan,Rural,7,6898,Primary,Self-Employed,25238,27312,4136,14837,10352,81875,11696.42857142857,29,Male,Yes,Yes,Other,Other,Yes,2,17473,21721,2,Yes,No,276,Unemployed,6,No,Own House,244592,No
H00331,Delhi,Urban,4,9135,Postgraduate,Unemployed,23889,2449,6530,9807,5887,48562,12140.5,61,Female,No,No,Wood,Piped Water,Yes,1,12767,1576,1,No,No,381,Unemployed,4,No,Own House,174446,Yes
H00332,Delhi,Urban,4,11629,Secondary,Self-Employed,18131,25426,723,11985,8131,64396,16099.0,38,Female,No,Yes,Other,Well,No,0,458,40900,2,Yes,Yes,123,Private,5,Yes,Own House,39459,Yes
H00333,Tamil Nadu,Rural,6,90120,Primary,Unemployed,27707,36427,6797,1168,7726,79825,13304.166666666666,51,Female,Yes,No,Electricity,River,No,2,15701,35888,0,No,No,413,Self-Employed,1,No,Own House,269189,Yes
H00334,Uttar Pradesh,Urban,6,94087,Graduate,Self-Employed,12770,32551,850,568,5608,52347,8724.5,47,Female,No,No,Wood,Other,Yes,2,16066,24537,3,Yes,No,266,Private,7,No,Temporary Shelter,305399,Yes
H00335,Karnataka,Urban,3,70031,Primary,Employed,8553,25277,7814,8624,19108,69376,23125.333333333332,38,Male,No,No,Wood,Well,Yes,0,4721,26340,2,No,Yes,277,Self-Employed,4,No,Own House,51965,Yes
H00336,Rajasthan,Urban,9,38380,Graduate,Self-Employed,22426,36489,2428,2442,2610,66395,7377.222222222223,64,Female,No,Yes,LPG,Well,No,1,12446,45552,2,Yes,Yes,110,Unemployed,5,No,Own House,263381,No
H00337,West Bengal,Rural,2,22071,Postgraduate,Unemployed,13559,10637,8243,5202,1457,39098,19549.0,28,Male,Yes,Yes,LPG,Well,Yes,2,6304,11022,0,Yes,No,380,Government,0,Yes,Temporary Shelter,392955,No
H00338,Uttar Pradesh,Urban,6,25074,Graduate,Unemployed,11009,36693,9040,3283,7646,67671,11278.5,63,Male,Yes,Yes,Other,River,Yes,0,13565,48254,4,Yes,Yes,312,Government,9,Yes,Rented House,52195,Yes
H00339,Tamil Nadu,Urban,7,95724,Postgraduate,Self-Employed,15482,10824,5232,8273,1060,40871,5838.714285714285,76,Female,No,No,LPG,River,Yes,1,10199,8166,1,No,No,88,Self-Employed,1,No,Temporary Shelter,497992,Yes
H00340,Tamil Nadu,Urban,9,72843,Postgraduate,Unemployed,9498,27950,1517,9312,1812,50089,5565.444444444444,43,Female,No,No,LPG,River,Yes,2,1920,12189,0,No,Yes,386,Self-Employed,3,Yes,Rented House,379919,Yes
H00341,Uttar Pradesh,Rural,3,44901,Postgraduate,Unemployed,8636,24488,2726,9080,18705,63635,21211.666666666668,71,Male,Yes,No,LPG,Piped Water,No,0,13227,32700,4,No,No,157,Private,8,Yes,Rented House,36326,No
H00342,Tamil Nadu,Urban,3,16205,Postgraduate,Employed,9362,1215,7706,12664,12095,43042,14347.333333333334,78,Female,Yes,Yes,LPG,Other,No,2,7694,46276,0,Yes,Yes,215,Unemployed,5,Yes,Temporary Shelter,136365,Yes
H00343,Uttar Pradesh,Rural,7,60661,Postgraduate,Self-Employed,18395,12523,7670,14752,5874,59214,8459.142857142857,28,Female,No,Yes,Electricity,Piped Water,Yes,2,6298,8267,3,No,Yes,383,Government,7,Yes,Own House,25274,Yes
H00344,Maharashtra,Rural,4,10906,Primary,Self-Employed,18578,11364,6707,13522,3151,53322,13330.5,54,Male,Yes,Yes,Electricity,River,Yes,0,6629,12916,0,Yes,Yes,300,Private,1,Yes,Rented House,412453,No
H00345,Uttar Pradesh,Rural,8,7591,Postgraduate,Self-Employed,4537,4153,2919,1669,10506,23784,2973.0,43,Male,No,Yes,LPG,Other,Yes,2,12719,21264,0,Yes,Yes,35,Self-Employed,9,Yes,Own House,356064,No
H00346,Gujarat,Rural,7,67987,Primary,Unemployed,21226,24834,6740,4925,10433,68158,9736.857142857143,55,Female,No,Yes,Other,Piped Water,No,0,5146,20529,3,Yes,No,86,Unemployed,4,No,Temporary Shelter,358673,Yes
H00347,Uttar Pradesh,Rural,5,68370,Postgraduate,Self-Employed,17216,35474,2393,4459,16672,76214,15242.8,55,Female,Yes,No,Electricity,Piped Water,No,1,17387,35101,1,No,No,117,Private,0,No,Rented House,471563,Yes
H00348,Tamil Nadu,Rural,7,85685,Graduate,Self-Employed,20613,35335,5822,3822,3377,68969,9852.714285714286,33,Female,Yes,Yes,LPG,Piped Water,Yes,0,19467,31515,4,Yes,Yes,327,Private,3,Yes,Own House,149301,Yes
H00349,Rajasthan,Urban,3,59400,Postgraduate,Employed,5009,11400,8218,10492,4583,39702,13234.0,77,Male,No,No,Electricity,River,Yes,1,10306,8217,2,No,No,447,Self-Employed,9,Yes,Rented House,497882,Yes
H00350,Gujarat,Rural,2,30150,Secondary,Employed,26368,11345,7378,10657,1245,56993,28496.5,37,Female,No,No,Wood,Well,Yes,2,2589,47418,1,No,Yes,181,Unemployed,0,Yes,Rented House,78847,No
H00351,Tamil Nadu,Urban,6,36852,Postgraduate,Employed,16209,34896,1625,12181,9249,74160,12360.0,38,Male,Yes,Yes,Electricity,Other,No,0,4310,6459,0,Yes,Yes,67,Government,8,No,Temporary Shelter,257966,No
H00352,Delhi,Urban,2,47870,Postgraduate,Unemployed,17675,20894,3617,1023,17825,61034,30517.0,79,Male,No,No,Electricity,River,Yes,0,2241,14464,2,No,No,433,Private,1,No,Own House,481792,Yes
H00353,Delhi,Rural,3,57756,Graduate,Self-Employed,17029,29899,4661,3631,19180,74400,24800.0,70,Female,Yes,Yes,Other,Other,Yes,0,13601,37065,3,Yes,No,358,Self-Employed,6,No,Own House,318862,No
H00354,Rajasthan,Urban,6,61481,Higher Secondary,Employed,4077,29229,4542,6728,17823,62399,10399.833333333334,78,Male,Yes,Yes,Electricity,River,Yes,0,7711,28894,1,Yes,No,490,Private,2,No,Rented House,330862,Yes
H00355,Rajasthan,Urban,5,6283,Graduate,Employed,15907,6583,4933,4351,18494,50268,10053.6,34,Female,Yes,No,Other,Piped Water,Yes,1,938,10393,4,No,No,158,Self-Employed,1,No,Own House,49615,No
H00356,Gujarat,Urban,8,38691,Secondary,Employed,26229,5897,9138,4413,2225,47902,5987.75,72,Female,Yes,Yes,Wood,Piped Water,Yes,1,4301,9432,1,Yes,No,284,Self-Employed,3,No,Rented House,118548,Yes
H00357,Maharashtra,Urban,9,6125,Higher Secondary,Self-Employed,5867,7001,3158,7620,12713,36359,4039.8888888888887,55,Male,Yes,Yes,LPG,Well,No,2,3970,715,1,Yes,No,442,Self-Employed,6,Yes,Temporary Shelter,71296,Yes
H00358,Rajasthan,Rural,3,72065,No Schooling,Self-Employed,18152,5567,3983,9189,10028,46919,15639.666666666666,61,Female,No,No,Other,Well,No,2,3999,45712,2,Yes,No,163,Unemployed,6,No,Temporary Shelter,334940,No
H00359,Delhi,Urban,3,31170,No Schooling,Self-Employed,6873,10271,3444,979,14662,36229,12076.333333333334,47,Male,Yes,No,Electricity,Other,No,2,3408,12501,3,No,Yes,460,Government,8,No,Own House,491970,No
H00360,Uttar Pradesh,Rural,3,13438,Secondary,Unemployed,10635,12703,7710,11242,9353,51643,17214.333333333332,51,Male,Yes,No,Electricity,Well,Yes,2,13807,42036,3,No,No,360,Unemployed,2,No,Temporary Shelter,243083,No
H00361,Tamil Nadu,Urban,6,25095,Graduate,Unemployed,2297,14329,8153,3092,7687,35558,5926.333333333333,30,Female,Yes,No,Other,Well,No,0,8962,29472,1,No,Yes,72,Government,6,Yes,Temporary Shelter,395131,No
H00362,Delhi,Urban,1,21154,Primary,Employed,15095,36509,9287,5734,532,67157,67157.0,50,Female,Yes,No,Wood,Other,Yes,1,16632,42376,3,Yes,No,118,Self-Employed,5,No,Own House,336795,No
H00363,Delhi,Rural,7,13004,Secondary,Self-Employed,24240,7256,2486,10285,15393,59660,8522.857142857143,26,Female,Yes,No,LPG,River,No,1,13385,48422,2,Yes,No,340,Government,9,Yes,Rented House,445990,Yes
H00364,Maharashtra,Urban,1,14752,Higher Secondary,Employed,11036,1228,1574,3506,14908,32252,32252.0,69,Female,Yes,Yes,Electricity,Well,No,1,5950,2439,2,No,Yes,498,Unemployed,6,Yes,Temporary Shelter,7076,Yes
